Country,Year,real_interest_rate
United States,1970,2.18540000839062
United States,1971,0.62260495720725
United States,1972,0.88722916425152
United States,1973,2.40973534145284
United States,1974,1.65106445818912
United States,1975,-1.28141917096265
United States,1976,1.26689165699568
United States,1977,0.575068852913289
United States,1978,1.88990329174528
United States,1979,4.03454769286935
United States,1980,5.7163904794562
United States,1981,8.59461978793387
United States,1982,8.17734743775717
United States,1983,6.6181602274006
United States,1984,8.14108811911498
United States,1985,6.56332655995495
United States,1986,6.19386027119665
United States,1987,5.59223790069931
United States,1988,5.59038219332081
United States,1989,6.69068693481143
United States,1990,6.03974920024778
United States,1991,4.91534648240575
United States,1992,3.88423803806005
United States,1993,3.54561722959168
United States,1994,4.898309954362
United States,1995,6.5939963828891
United States,1996,6.32407370913164
United States,1997,6.53661498804258
United States,1998,7.1481919123237
United States,1999,6.4571348015229
United States,2000,6.84484418755139
United States,2001,4.62675686396421
United States,2002,3.04507118458628
United States,2003,2.22410112310282
United States,2004,1.60458893576253
United States,2005,2.98135677415587
United States,2006,4.78644765750077
United States,2007,5.22340584151622
United States,2008,3.08241133651995
United States,2009,2.46882889478265
United States,2010,2.06073671062756
United States,2011,1.1373383192166
United States,2012,1.30708311280131
United States,2013,1.46929925051209
United States,2014,1.37474217085635
United States,2015,2.28569648741529
United States,2016,2.43685070473409
United States,2017,2.17569426533145
United States,2018,2.44449371999786
United States,2019,3.43601046885253
United States,2020,2.31111141663839
